korean_name,english_name,kcd_code,special_code
선천성 무피브리노젠혈증,Congenital afibrinogenaemia,D68.2,V009
선천성 무형성(순수)적혈구,"Aplasia, (pure) red cell (of) congenital",D61.0,V023
선천성 및 발달성 근무력증,Congenital and developmental myasthenia,G70.2,V012
선천성 반척추,Congenital hemivertebra,,V900
선천성 부신증식증,Congenital adrenal hyperplasia,E25.0,V115
선천성 비진행성 운동실조,Congenital nonprogressive ataxia,G11.0,V123
선천성 수포성 비늘모양홍색피부증,Congenital bullous ichthyosiform erythroderma,Q80.3,V900
선천성 승모판기능부전,Congenital mitral insufficiency,Q23.3,V147
선천성 승모판폐쇄,Congenital mitral atresia,Q23.2,V147
선천성 승모판협착,Congenital mitral stenosis,Q23.2,V147
선천성 신증후군(핀란드형),Congenital nephrotic syndrome(Finnish type),N04,V900
선천성 심근병증,Congenital cardiomyopathy,I42.4,V127
"선천성 심장결손, 이상형태성 얼굴 특징 및 지적발달장애","Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder (CHDFIDD)",,V900
선천성 심장차단,Congenital heart block,Q24.6,V271
선천성 염화물 설사,Congenital chloride diarrhea,,V900
선천성 이상각화증,Congenital dyskeratosis,Q82.8,V900
선천성 이상근긴장증,Paramyotonia congenita,G71.1,V012
선천성 이상식작용증,Congenital dysphagocytosis,D71,V109
선천성 적혈구조혈이상빈혈,Congenital dyserythropoietic anaemia,D64.4,V220
선천성 전신지방이상증,Congenital systemic lipodystrophy,E88.1,V900
선천성 젖당분해효소결핍,Congenital lactase deficiency,E73.0,V117
선천성 중추성 무호흡증,Congenital central hypoventilation syndrome,,V900
선천성 지카 바이러스 질환,Congenital Zika virus disease,P35.4,V900
선천성 짧은힘줄,Congenital shortening of tendon,Q79.8,V155
선천성 풍진증후군,Congenital rubella syndrome,P35.0,V900
선천성 협착띠,Congenital constricting bands,Q79.8,V155
선천성 호중구감소,Congenital neutropenia,D70,V108
선천성 횡격막탈장,Congenital diaphragmatic hernia,Q79.0,V155
선천성짧은장증후군,Congenital Short Bowel Syndrome,Q43.8,V900
설파테이스결핍,Sulfatase deficiency,E75.2,V117
"섬모체, 원발성 이상운동증","ciliary, primary Dyskinesia",J39.8,V900
성인발병 스틸병,Adult-onset Still’s disease,M06.1,V298
성인의 킨뵉병,Kienböck’s disease of adults,M93.1,V299
성인형 GM₂-강글리오시드증,Adult GM₂gangliosidosis,E75.0,V117
성인형 척수성 근위축,Adult form spinal muscular atrophy,G12.1,V123
"성장지연, 지적발달장애, 근기능저하 및 간병증","Growth retardations, impaired intellectual development, hypotonia, and hepatopathy (GRIDHH)",,V900
성장호르몬의 과잉생산,Overproduction of growth hormone,E22.0,V112
세뇨관-간질신장병증 동반 전신홍반루푸스,Systemic lupus erythematosus with tubulo-interstitial nephropathy,M32.1,V136
세망세포발생이상을 동반한 중증복합면역결핍,Severe combined immunodeficiency [SCID] with reticular dysgenesis,D81.0,V111
세망조직구종(거대세포),Reticulohistiocytoma(giant-cell),D76.3,V110
세포막수용체복합체[CR3]결손,Cell membrane receptor complex [CR3] defect,D71,V109
소뇌무발생,Cerebellar agenesis,Q04.3,V900
"소뇌위축, 시력장애, 정신운동지체","Cerebellar atrophy, visual impairment, and psychomotor retardation [CAVIPMR]",,V900
소두증 골형성이상 원시성 난쟁이증 유형2,Microcephalic osteodysplastic primordial dwarfism type II,,V900
"소두증, 언어장애,그리고 보행이상을 동반한 신경발달 이상(NARS1 관련)","Neurodevelopmental disorder with microcephaly, impaired language, and gait abnormalities",,V900
소발작뇌전증지속상태,Petit mal status epilepticus,G41.1,V125
소사구체이상을 동반한 신증후군,Nephrotic syndrome with minor glomerular abnormality,N04.0,V263
소아기의 진행성 연수마비[파지오-론데],Progressive bulbar palsy of childhood [Fazio-Londe],G12.1,V123
소아성 폴립증 증후군,Juvenile polyposis syndrome,,V900
"소아형, Ⅱ형 척수성 근위축","Childhood form, type Ⅱ spinal muscular atrophy",G12.1,V123
소이증(小耳症),Microtia,Q17.2,V291
소장 및 대장 모두의 크론병,Crohn’s disease of both small and large intestine,K50.8,V130
소장의 크론병,Crohn’s disease of small intestine,K50.0,V130
소토스 증후군,Sotos syndrome,Q87.3,V244
손발바닥농포증,Pustulosis palmaris et plantaris,L40.3,V313
손발톱무릎뼈 증후군,Nail patella syndrome,Q87.2,V243
송과선 기능이상,Pineal gland dysfunction,E34.8,V166
쇄골두개골이골증,Cleidocranial dysostosis,Q74.0,V900
수근반달뼈의 골연골증(연소성)[킨뵉],Osteochondrosis (juvenile) of carpal lunate [Kienbock],M92.2,V299
수두증을 동반한 상세불명의 이분척추,Unspecified spina bifida with hydrocephalus,Q05.4,V179
수두증을 동반한 이분경추,Cervical spina bifida with hydrocephalus,Q05.0,V179
수두증을 동반한 이분요천추,Lumbosacral spina bifida with hydrocephalus,Q05.2,V179
수두증을 동반한 이분요추,Lumbar spina bifida with hydrocephalus,Q05.2,V179
수두증을 동반한 이분척추,Dorsal spina bifida with hydrocephalus,Q05.1,V179
수두증을 동반한 이분천추,Sacral spina bifida with hydrocephalus,Q05.3,V179
수두증을 동반한 이분흉요추,Thoracolumbar spina bifida with hydrocephalus,Q05.1,V179
수두증을 동반한 이분흉추,Thoracic spina bifida with hydrocephalus,Q05.1,V179
수두증이 없는 이분경추,Cervical spina bifida without hydrocephalus,Q05.5,V179
수두증이 없는 이분요추,Lumbar spina bifida without hydrocephalus,Q05.7,V179
수두증이 없는 이분천골,Sacral spina bifida without hydrocephalus,Q05.8,V179
수두증이 없는 이분흉추,Thoracic spina bifida without hydrocephalus,Q05.6,V179
수정혈관전위,Corrected transposition,Q20.5,V144
수초 희소돌기아교세포 당단백질 항체 관련 질환,Myelin oligodendrocyte glycoprotein antibody associated diseases [MOGAD],G37.8,V900
수포성 유사천포창,Bullous pemphigoid,L12.0,V211
숙신알데히드 탈수소효소 결핍(증),Succinic semialdehyde dehydrogenase deficiency (SSADHD),E72.8,V900
순환성 호중구감소,Cyclic neutropenia,D70,V108
쉐그렌-라손 증후군,Sjogren-Larsson syndrome,Q87.1,V158
쉬프린첸-골드베르그 증후군,Shprintzen-Goldberg syndrome,,V900
쉬한증후군,Sheehan syndrome,E23.0,V165
쉰젤 기드온 증후군,Schinzel Giedion syndrome,,V900
슈바크만-다이아몬드 증후군,Schwachman-Diamond syndrome,,V900
스미스-렘리-오피츠 증후군,Smith-Lemli-Opitz syndrome,Q87.1,V158
스미스-마제니스 증후군,Smith-Magenis syndrome,Q93.5,V217
스미스-킹스모어 증후군,Smith-Kingsmore syndrome,,V900
스크라반-디어도르프 증후군,Skraban-Deardorff syndrome,,V900
스타르가르트병,Stargardt’s disease,H35.58,V209
스터지-베버(-디미트리) 증후군,Sturge-Weber(-Dimitri) syndrome,Q85.8,V216
스티클러 증후군,Sticklers syndrome,Q87.0,V900
스필마이어-보그트병,Spielmeyer-Vogt’s disease,E75.4,V117
스휘르스-호에이메이커스 증후군,Schuurs-Hoeijmakers syndrome,,V900
시니어-로켄 증후군,Senior-Loken syndrome,,V900
시스타타이오닌뇨증,Cystathioninuria,E72.1,V117
시스틴뇨증,Cystinuria,E72.0,V117
시스틴증,Cystinosis,E72.0,V117
시스틴축적병,Cystine storage disease,E72.0,V117
시신경척수염[데빅병],Neuromyelitis optica[Devic],G36.0,V276
시알산증[뮤코지질증Ⅰ],Sialidosis[mucolipidosisⅠ],E77.1,V117
시클 증후군,Seckel syndrome,Q87.1,V158
시트룰린혈증,Citrullinaemia,E72.2,V117
시프림-히츠-바이스 증후군,Sifrim-Hitz-Weiss syndrome,,V900
신경근육긴장[아이작스],Neuromyotonia[Isaacs],G71.1,V012
신경눈심장비뇨생식계 증후군,Neurooculocardiogenitourinary syndrome,,V900
신경병성 유전가족성 아밀로이드증,Neuropathic heredofamilial amyloidosis,E85.1,V121
신경섬유종증(비악성),Neurofibromatosis (nonmalignant),Q85.0,V156
"신경섬유종증(비악성) 1형, 2형","Neurofibromatosis(nonmalignant) type 1, type 2",Q85.0,V156
신경세포세로이드라이포푸스신증,Neuronal ceroid lipofuscinosis,E75.4,V117
신생아의 호흡곤란증후군,Respiratory distress syndrome of newborn,P22.0,V142
신세뇨관 발생이상,Renal tubular dysgenesis,,V900
신세뇨관-간질성 장애을(를) 동반한 쉐그렌증후군,Sjogren’s syndrome with renal tubulo-interstitial disorder,M35.0,V139
신장 안결손 증후군,Renal coloboma syndrome,,V900
신장병증을 동반하는 다중심 수근골 족근골 골용해 증후군,Multicentric Carpo-tarsal Osteolysis with nephropathy syndrome,,V900
신장성 요붕증,Nephrogenic diabetes insipidus,N25.1,V141
신장침범 동반 전신홍반루푸스,Systemic lupus erythematosus with kidney involvement,M32.1,V136
심내막심근(열대성)섬유증,Endomyocardial(tropical) fibrosis,I42.3,V127
심내막심근(호산구성)병,Endomyocardial(eosinophilic) disease,I42.3,V127
심내막염 동반 전신홍반루푸스,Systemic lupus erythematosus with endocarditis,M32.1,V136
심내막융기결손,Endocardial cushion defect,Q21.2,V269
심내막탄력섬유증,Endocardial fibroelastosis,I42.4,V127
심방부속물의 이성질현상,Isomerism of atrial appendages,Q20.6,V900
심실내번,Ventricular inversion,Q20.5,V144
심실대혈관연결불일치,Discordant ventriculoarterial connection,Q20.3,V144
심장글리코젠증,Cardiac glycogenosis,E74.0,V117
심장척추 카포얼굴 증후군,Cardiospondylocarpofacial syndrome,,V900
심한 림프선병증을 동반한 동조직구증,Sinus histiocytosis with massive lymph- adenopathy,D76.3,V110
아가미-귀-신장 증후군,Branchiootorenal syndrome,Q87.8,V900
아급성 괴사성 뇌병증[리이],Subacute necrotizing encephalopathy[Leigh],G31.81,V208
아급성 해면모양뇌병증,Subacute spongiform encephalopathy,A81.0,V102
아놀드-키아리증후군,Arnold-Chiari syndrome,Q07.0,V143
아데노신탈아미노효소결핍,Adenosine deaminase[ADA] deficiency,D81.3,V111
아르볼레다-탐 증후군[KAT6A 증후군],Arboleda-Tham syndrome[KAT6A syndrome],,V900
아르스코그 증후군,Aarskog syndrome,Q87.1,V158
아르지닌숙신산뇨,Argininosuccinic aciduria,E72.2,V117
아르지닌혈증,Argininaemia,E72.2,V117
아미노산운반장애,Disorders of amino-acid transport,E72.0,V117
아밀로이드다발신경병증(포르투갈),Amyloid polyneuropathy(Portuguese),E85.1,V121
아벨리노 각막디스트로피 (동형접합),Avellino corneal dystrophy (homozygous),H18.5,V900
아스파르틸글루코사민뇨,Aspartylglucosaminuria,E77.1,V117
아이메-그리프 증후군,Aymé-Gripp syndrome,,V900
아이소발레린산혈증,Isovaleric acidaemia,E71.1,V117
아이젠멘거결손,Eisenmenger’s defect,Q21.8,V226
아이젠멘거복합,Eisenmenger’s complex,I27.8,V226
아이젠멘거증후군,Eisenmenger’s syndrome,I27.8,V226
아이카디-구티에레스 증후군,Aicardi-Goutieres Syndrome,G31.88,V900
아이펙스 증후군,IPEx syndrome,,V900
아텔로스테오제네시스,Atelosteogenesis,,V900
아황산염산화효소결핍,Sulfite oxidase deficiency,E72.1,V117
악센펠트-리이거 증후군,Axenfeld-Rieger syndrome,Q13.8,V900
안데르센병,Andersen’s disease,E74.0,V117
안드로젠저항증후군,Androgen resistance syndrome,E34.5,V166
안와의 림프관종,Orbit lymphangioma,D18.1,V900
안치지의 형성이상,Oculodentodigital dysplasia,Q87.0,V185
알라질증후군,Alagille’s syndrome,Q44.7,V900
알란-헌든-더들리 증후군,Allan-Herndon-Dudley syndrome,,V900
알렉산더 병,Alexander disease,,V900
알베르스-쇤베르그증후군,Albers-Schönberg syndrome,Q78.2,V229
알스트롬 증후군,Alstrom syndrome,Q87.8,V900
알캅톤뇨증,Alkaptonuria,E70.2,V117
알파-1-항트립신결핍,α-1-Antitrypsin deficiency,E88.0,V900
알파지중해빈혈,Alpha thalassaemia,D56.0,V232
알포트 증후군,Alport syndrome,Q87.8,V267
애디슨발증,Addisonian crisis,E27.2,V116
애디슨병,Addison’s disease,E27.1,V116
앤틀리-빅슬러 증후군,Antley-Bixler syndrome,,V900
야콥센 증후군(11장완 말단부 결손 증후군),Jacobsen syndrome(11q distal deletion syndrome),Q87.0,V900
얀스키-빌쇼스키병,Jansky-Bielschowsky’s disease,E75.4,V117
양성 점막유사천포창,Benign mucous membrane pemphigoid,L12.1,V212
양성[베커] 근디스트로피,Benign [Becker] muscular dystrophy,G71.0,V012
"양수과다증, 거대뇌증, 증상성 뇌전증 증후군","Polyhydramnios, megalencephaly, and symptomatic epilepsy syndrome [PMSE syndrome]",,V900
어깨고관절 점상 연골형성이상(1형-3형),Rhizomelic chondrodysplasia punctata(type 1-3),Q77.3,V228
어깨종아리 근디스트로피,Scapuloperoneal muscular dystrophy,G71.0,V012
어깨종아리형 척수성 근위축,Scapuloperoneal form spinal muscular atrophy,G12.1,V123
얼굴어깨팔 근디스트로피,Facioscapulohumeral muscular dystrophy,G71.0,V012
얼브라이트(-맥쿤)(-스턴버그)증후군,Albright(-McCune)(-Sternberg) syndrome,Q78.1,V154
에드하임-체스터 병,Erdheim-Chester disease,,V900
에반스증후군,Evans’ syndrome,D69.3,V188
에브스타인이상,Ebstein anomaly,Q22.5,V146
에필로이아,Epiloia,Q85.1,V204
엔젤만증후군,Angelman syndrome,Q93.5,V217
엘러스-단로스증후군,Ehlers-Danlos syndrome,Q79.6,V155
엘리스-반크레벨트증후군,Ellis-van Creveld syndrome,Q77.6,V228
엠마누엘 증후군,Emanuel syndrome,,V900
엡스타인-바르바이러스에 대한 유전성 결손반응에 따른 면역결핍,Immunodeficiency following hereditary defective response to Epstein-Barr virus,D82.3,V111
여성 한정 X-연관 증후군성 지적발달장애,"Intellectual developmental disorder, X-linked, syndromic, female-restricted",,V900
연골무발생증,Achondrogenesis,Q77.0,V228
연골무형성증,Achondroplasia,Q77.4,V228
연골발생저하증,Hypochondrogenesis,Q77.0,V228
연골외배엽형성이상,Chondroectodermal dysplasia,Q77.6,V228
연골형성장애성 근긴장증,Chondrodystrophic myotonia,G71.1,V012
연골형성저하증,Hypochondroplasia,Q77.4,V228
연소성 강직척추염,Juvenile ankylosing spondylitis,M08.1,V133
연소성 골연화증,Juvenile osteomalacia,E55.0,V207
연소성 다발동맥염,Juvenile polyarteritis,M30.2,V134
연소성 류마티스관절염,Juvenile rheumatoid arthritis,M08.0,V133
연소성 피부근염,Juvenile dermatomyositis,M33.0,V137
연소형 GM₂-강글리오시드증,Juvenile GM₂gangliosidosis,E75.0,V117
"연소형, Ⅲ형[쿠겔베르그-벨란더] 척수성 근위축","Juvenile form, typeⅢ [Kugelberg-Welander] spinal muscular atrophy",G12.1,V123
열성[베커] 선천성 근긴장증,Recessive[Becker] myotonia congenita,G71.1,V012
염류소실 선천성 부신증식증,Salt-losing congenital adrenal hyperplasia,E25.0,V115
영아 무형성(순수)적혈구,"Aplasia, (pure) red cell (of) infants",D61.0,V023
영아 유전성 무과립구증,Infantile genetic agranulocytosis,D70,V108
영아골연화증,Infantile osteomalacia,E55.0,V207
영아기 발병 STING 연관 혈관증,STING associated vasculopahty with onset in infancy[SAVI],,V900
영아기 소뇌 망막변성,Infantile cerebellar retinal degeneration,,V900
영아기의 비대성 신경병증,Hypertrophic neuropathy of infancy,G60.0,V169
"영아척수성 근위축, I형[베르드니히-호프만]","Infantile spinal muscular atrophy, type Ⅰ[Werdnig-Hoffman]",G12.0,V123
오그덴 증후군,Ogden syndrome,,V900
오도널-루리아-로단 증후군,O'Donnell-Luria-Rodan syndrome,,V900
오르니틴대사장애,Disorders of ornithine metabolism,E72.4,V117
오르니틴트랜스카바미라제결핍,Ornithine transcarbamylase deficiency,E72.4,V117
"오르니틴혈증(Ⅰ, Ⅱ형)","Ornithinaemia (typesⅠ, Ⅱ)",E72.4,V117
오멘증후군,Omenn syndrome,D81.8,V111
오우렌병,Owren’s disease,D68.2,V009
오쿠르-청 신경발달 증후군,Okur-Chung neurodevelopmental syndrome,,V900
옥살산뇨,Oxaluria,E74.8,V117
올리에르병,Ollier’s disease,Q78.4,V230
와이번메이슨증후군,Wyburn Mason syndrome,Q28.2,V900
요소회로대사장애,Disorders of urea cycle metabolism,E72.2,V117
요정증[랍슨-멘덴홀 증후군],Leprechaunism [Rabson-Mendenhall syndrome],E34.8,V900
용혈성 비구상적혈구성 (유전성) Ⅱ형 빈혈,"Haemolytic nonspherocytic (hereditary), type Ⅱ anaemia",D55.2,V164
우성[톰슨] 선천성 근긴장증,Dominant[Thomsen] myotonia congenita,G71.1,V012
"운동신경세포병(단, 기타 및 상세불명의 운동신경세포병(G12.28)은 제외)",Motor neuron disease,G12.2,V123
워버그-시노티 증후군,Warburg-Cinotti syndrome,,V900
워커-워버그 증후군,Walker-Warburg syndrome,G71.2,V900
원발 진행형 다발경화증,Primary progressive multiple sclerosis,G35.1,V022
원발성 경화성 담관염,Primary sclerosing cholangitis,K83.00,V262
원발성 담도 간경변증,Primary biliary cirrhosis,K74.3,V174
원발성 무감마글로불린혈증,"Agammaglobulinemia, primary",D80.0,V111
원발성 무형성(순수)적혈구,"Aplasia, (pure) red cell (of) primary",D61.0,V023
원발성 부신피질부전,Primary adrenocortical insufficiency,E27.1,V116
원발성 파킨슨증 또는 파킨슨병,Primary Parkinsonism or Parkinson’s disease,G20,V124
원발성 폐동맥고혈압,Primary Pulmonary hypertension,I27.0,V202
원발성 한랭응집소병,Primary cold agglutinin disease,,V900
원위 척수성 근위축,Distal spinal muscular atrophy,G12.1,V123
원위성 근디스트로피,Distal muscular dystrophy,G71.0,V012
원위장폐쇄증후군,Distal intestinal obstruction syndrome,E84.1,V120
원추각막,Keratoconus,H18.6,V307
월만병,Wolman’s disease,E75.5,V117
월프-허쉬호른증후군,Wolff-Hirschorn syndrome,Q93.3,V900
웨스트증후군,West’s syndrome,G40.4,V233
위버 증후군,Weaver syndrome,Q87.3,V244
윌리엄스 증후군,William’s syndrome,Q93.5,V217
윌슨병,Wilson’s disease,E83.0,V119
유전성 강직성 하반신마비,Hereditary spastic paraplegia,G11.4,V123
유전성 근육병증 NOS,Hereditary myopathy NOS,G71.9,V012
유전성 다발외골증,Hereditary multiple exostoses,Q78.6,V242
유전성 림프부종,Hereditary lymphoedema,Q82.0,V900
유전성 만성 췌장염,Hereditary chronic pancreatitis,,V900
유전성 소뇌의 변성,Hereditary cerebellar degeneration,G11.9,V123
유전성 소뇌의 병,Hereditary cerebellar disease,G11.9,V123
유전성 소뇌의 운동실조 NOS,Hereditary cerebellar ataxia NOS,G11.9,V123
유전성 소뇌의 증후군,Hereditary cerebellar syndrome,G11.9,V123
유전성 아밀로이드 신장병증,Hereditary amyloid nephropathy,E85.0,V121
유전성 운동 및 감각 신경병증,Hereditary motor and sensory neuropathy,G60.0,V169
유전성 운동 및 감각 신경병증 I-IV형,"Hereditary motor and sensory neuropathy, types I-IV",G60.0,V169
유전성 저감마글로불린혈증,Hereditary hypogammaglobulinaemia,D80.0,V111
유전성 제11인자결핍,Hereditary factor ⅩⅠ deficiency,D68.1,V009
유전성 제8인자결핍,Hereditary factor Ⅷ deficiency,D66,V009
유전성 제9인자결핍,Hereditary factor Ⅸ deficiency,D67,V009
유전성 출혈성 모세혈관확장증,Hereditary haemorrhagic telangiectasia,I78.0,V297
유전성 코프로포르피린증,Hereditary coproporphyria,E80.2,V118
유전성 혈소판감소증,Hereditary thrombocytopenia,D69.4,V900
유황함유아미노산대사장애,Disorders of sulfur-bearing amino-acid metabolism,E72.1,V117
윤활막염-여드름-농포증-골염 증후군,Synovitis-acne-pustulosis-hyperostosis-osteitis syndrome,,V900
이분요천추 NOS,Lumbosacral spina bifida NOS,Q05.7,V179
이분척추 NOS,Dorsal spina bifida NOS,Q05.6,V179
이분흉요추 NOS,Thoracolumbar spina bifida NOS,Q05.6,V179
이상조혈성 빈혈(선천성),Dyshaematopoietic anaemia(congenital),D64.4,V220
이상피브리노젠혈증(선천성),Dysfibrinogenaemia (congenital),D68.2,V009
이상형태성 얼굴 및 원위 골 이상을 동반한 신경발달 장애,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,,V900
이상형태성 얼굴 및 자폐증을 동반 또는 동반하지 않는 발달지연,Developmental delay with or without dysmorphic facies and autism,,V900
이소성 부신피질자극호르몬증후군,Ectopic ACTH syndrome,E24.3,V114
이염성 백질디스트로피,Metachromatic leukodystrophy,E75.2,V117
이완불능증,Achalasia,K22.0,V315
이중출구우심실,Double outlet right ventricle,Q20.1,V144
이중출구좌심실,Double outlet left ventricle,Q20.2,V144
이차 진행형 다발경화증,Secondary progressive multiple sclerosis,G35.2,V022
이첨대동맥판막,Bicuspid aortic valve,Q23.1,V147
인대사 및 인산분해효소 장애,Disorders of phosphorus metabolism and phosphatases,E83.3,V189
인두낭증후군,Pharyngeal pouch syndrome,D82.1,V111
일스 병,Eales’ disease,H35.0,V900
일차성 색소성 결절성 부신피질 질환,Primary pigmented nodular adrenocortical disease,,V900
일차성 코엔자임 큐텐 신증,primary coenzyme Q10 nephropathy,,V900
입-얼굴-손발 증후군,Oro-facial-digital syndrome,Q87.0,V185
자가면역 뇌염,Autoimmune encephalitis,G04.8,V900
자가면역 림프증식 증후군,Autoimmune lymphoproliferative syndrome,,V900
자가면역성 간염,Autoimmune hepatitis,K75.4,V175
자가면역성 부신염,Autoimmune adrenalitis,E27.1,V116
자폐증 혹은 경련이 있거나 없는 신경발달장애(CUL3 관련),Neurodevelopmental disorder with or without autism or seizures,,V900
잠두중독,Favism,D55.0,V163
잠복안구증후군,Cryptophthalmos syndrome,Q87.0,V185
장림프관확장증,Intestinal lymphangiectasia,,V900
장병성 말단피부염,Acrodermatitis enteropathica,E83.2,V900
장쇄수산화아실코에이탈수소효소결핍증(VLCAD),Very long chain acyl-CoA dehydrogenase(VLCAD) deficiency,E71.3,V117
장증상을 동반한 낭성 섬유증,Cystic fibrosis with intestinal manifestations,E84.1,V120
재발 완화형 다발경화증,Relapsing-remitting multiple sclerosis,G35.0,V022
재발성 다발연골염,Relapsing polychondritis,M94.1,V178
재발성 지방층염[웨버-크리스찬],Relapsing panniculitis[Weber-Christian],M35.6,V139
재조합 8번 염색체 증후군,Recombinant chromosome 8 syndrome,,V901
저감마글로불린혈증 NOS,Hypogammaglobulinaemia NOS,D80.1,V111
"저긴장, 발작, 언어결여를 동반한 신경발달장애(HECW2관련)","Neurodevelopmental Disorders with hypotonia,seizure and absent language(HECW2)",,V900
"저긴장, 운동실조 그리고 발달지연 증후군(EBF3 관련)","Hypotonia, ataxia and delayed development syndrome",,V900
"저신장, 손발톱뼈형성이상, 안면이상형태증, 털감소증 증후군 [SOFT 증후군]","Short stature, onychodysplasia, facial dysmorphism, hypotrichosis syndrome [SOFT syndrome]",,V900
저알도스테론증,Hypoaldosteronism,E27.4,V116
저인산효소증,Hypophosphatasia,E83.3,V189
저프로콘버틴혈증,Hypoproconvertinaemia,D68.2,V009
저형성빈혈 NOS,Hypoplastic anaemia NOS,D61.9,V023
전신농포건선,Generalized pustular psoriasis,L40.1,V313
전신성 모세혈관 누출 증후군,Systemic capillary leak syndrome,,V900
전신성(∼의) 다발경화증,Multiple sclerosis (of) generalized,G35,V022
전신적으로 발병된 연소성 관절염,Juvenile arthritis with systemic onset,M08.2,V133
전신홍반루푸스에서의 근병증,Myopathy in systemic lupus erythematosus,M32.1,V136
전신홍반루푸스에서의 뇌염,Encephalitis in systemic lupus erythematosus,M32.1,V136
전신홍반루푸스에서의 대뇌동맥염,Cerebral arteritis in systemic lupus erythematosus,M32.1,V136
전전뇌증(全前腦症),Holoprosencephaly,Q04.2,V900
전폐정맥결합이상,Total anomalous pulmonary venous connection,Q26.2,V150
점상 연골형성이상,Chondrodysplasia punctata,Q77.3,V228
정성적 혈소판결손,Qualitative platelet defects,D69.1,V106
제10인자[스튜어트-프라워]의 결핍,Ⅹ[Stuart-Prower] deficiency of factor,D68.2,V009
제12인자[하게만]의 결핍,ⅩⅡ[Hageman] deficiency of factor,D68.2,V009
제13인자[피브린안정화]의 결핍,ⅩⅢ[Fibrin-stabilizing] deficiency of factor,D68.2,V009
제1공심방중격결손(Ⅰ형),Ostium primum atrial septal defect (type Ⅰ),Q21.2,V269
제1인자[피브리노젠]의 결핍,Ⅰ[Fibrinogen] deficiency of factor,D68.2,V009
제2인자[프로트롬빈]의 결핍,Ⅱ[Prothrombin] deficiency of factor,D68.2,V009
제5인자[불안정]의 결핍,Ⅴ[Labile] deficiency of factor,D68.2,V009
제7인자[안정]의 결핍,Ⅶ[Stable] deficiency of factor,D68.2,V009
제8인자결핍(기능적 결함을 동반),Deficiency factor Ⅷ (with functional defect),D66,V009
제9인자결핍(기능적 결함을 동반),Factor Ⅸ deficiency (with functional defect),D67,V009
젤레오피직 이형성증,Geleophysic dysplasia,,V900
젤웨거 증후군,Zellweger syndrome,Q87.8,V267
조기발병 소뇌성 운동실조(발병은 보통 20세 이전),Early-onset cerebellar ataxia(Onset usually before the age of 20),G11.1,V123
조기수축을 동반하는 양성 어깨종아리[에머리-드라이프스] 근디스트로피,Benign scapuloperoneal with early contractures [Emery-Dreifuss] muscular dystrophy,G71.0,V012
조로증,Progeria,E34.8,V166
조직흑갈병,Ochronosis,E70.2,V117
종양 괴사 인자 수용체와 관련된 주기성 증후군,Tumor necrosis factor receptor- associated periodic syndrome,,V900
좌상대정맥존속,Persistent left superior vena cava,Q26.1,V150
좌측 결장염,Left side colitis,K51.5,V131
좌측전위,Laevotransposition,Q20.5,V144
주기마비(가족성) 저칼륨혈성,Hypokalaemic periodic paralysis (familial),G72.3,V258
주기성 호중구감소,Periodic neutropenia,D70,V108
주로 단신과 관련된 선천기형증후군,Congenital malformation syndromes predominantly associated with short stature,Q87.1,V158
주로 얼굴형태에 영향을 주는 선천기형증후군,Congenital malformation syndromes predominantly affecting facial appearance,Q87.0,V185
주버트 증후군,Joubert syndrome,Q04.3,V900
주조직적합성복합체I형결핍,Major histocompatibility complex class I deficiency,D81.6,V111
주조직적합성복합체Ⅱ형결핍,Major histocompatibility complex class Ⅱ deficiency,D81.7,V111
중간형 지중해빈혈,Intermedia thalassaemia,D56.1,V232
중심핵 병,Central core disease,G71.2,V012
중증 베타지중해빈혈,Severe beta thalassaemia,D56.1,V232
중증 지중해빈혈,Major thalassaemia,D56.1,V232
중증 화농성 한선염,"Hidradenitis suppurativa, severe",L73.22,V309
중증[뒤쉔] 근디스트로피,Severe[Duchenne] muscular dystrophy,G71.0,V012
중증근무력증,Myasthenia gravis,G70.0,V012
중증복합면역결핍장애 NOS,Severe combined immunodeficiency disorder [SCID]) NOS,D81.9,V111
중추신경계통 저수초를 동반한 소아기 운동실조,Childhood ataxia with central nervous system hypomyelination,E75.2,V900
중추신경계통의 원발성 혈관염,Primary angiitis of central nervous system (PACNS),,V900
증상성 근긴장증,Symptomatic myotonia,G71.1,V012
지대 근디스트로피,Limb-girdle muscular dystrophy,G71.0,V012
지방산대사장애,Disorders of fatty-acid metabolism,E71.3,V117
지아-깁스 증후군,Xia-Gibbs syndrome,,V900
"지적 발달 장애, X 연관 증후군 14 (UPF3B 유전자 관련)","Intellectual developmental disorder, X-linked syndromic 14(UPF3B gene related)",,V900
지적발달장애 보통염색체 우성 23,"Intellectual developmental disorder, autosomal dominant 23",,V900
지중해빈혈 소질,Thalassaemia trait,D56.3,V232
지질단백질 라이페이스 결핍,Lipoprotein lipase deficiency,,V900
지텔만 증후군,Gitelman syndrome,,V900
진행성 가족성 간내 담즙정체,Progressive familial intrahepatic cholestasis,E80.6,V900
진행성 골화섬유형성이상,Fibrodysplasia ossificans progressiva,M61.1,V224
진행성 전신경화증,Progressive systemic sclerosis,M34.0,V138
진행성 패혈성 육아종증,Progressive septic granulomatosis,D71,V109
